name_in_database,domain,authors,journal,year,expt_in_paper,stimuli,n_subjects_master,min_trials,max_trials,n_tasks_conditions,confidence_type,confidence_scale_raw,conf_simultaneous,conf_min_est,conf_max_est,conf_n_levels_est,conf_is_discrete_est,manipulations,notes_master,task_type,csv_found,csv_error,csv_columns,csv_n_columns,csv_n_rows,csv_n_subjects,csv_file_size_bytes,is_multi_task,n_tasks_detected,task_suffixes,has_explicit_accuracy,has_any_rt,has_decision_rt,has_separate_conf_rt,rt_type,conf_min_actual,conf_max_actual,conf_n_unique_actual,conf_is_discrete_actual,conf_n_levels_actual,conf_non_numeric,stimulus_is_binary,stimulus_values,response_is_binary,response_values,has_correct_col,has_error_col,feedback,response_device,data_collection_dates,auto_tags,n_tags,tag_notes
Desender_2022_Exp2B,Perception,"Desender, Vermeylen, Verguts",Nature Communications,2022.0,2B,Dot discrimination,99,500,500,1,confidence rating,6 point scale,no,1.0,6.0,6.0,True,/,,binary_classification,True,,"Subj_idx, Stimulus, Response, Confidence, RT_dec, RT_conf, Difficulty, Training",8,49500,99.0,1574801,False,1,,False,True,True,True,separate,1.0,6.0,6,True,6.0,,True,"0, 1",True,"0, 1",False,False,No feedback was given during the actual task.,,,"accuracy, confidence_accuracy, confidence_rt, criterion, dprime, m_ratio, mean_confidence, mean_rt, meta_d_mle, rt_distribution, type2_auc, type2_roc",12,
Dildine_unpub,Perception,"Dildine, Necka, Atlas",Unpublished,,Expt 1,noxious heat,46,24,24,1,confidence rating,continuous (0-100),no,0.0,100.0,,False,,,continuous_estimation,True,,"Subj_idx, Stimulus, Response, Confidence, RT_dec, RT_conf, Trial_number, Skin_site, raw_Confidence_NotReverseCoded, raw_Response, logTransformed_RT_dec_NaNOutlier, logTransformed_RT_conf_NaNOutlier",12,1104,46.0,72179,False,1,,False,True,True,True,separate,0.0,100.0,334,False,,,False,"41.0, 41.5, 42.0, 42.5, 44.0, 44.5, 46.0, 46.5, 47.0, 48.0",False,"0.95, 0.98, 1.01, 1.96, 2.97, 3.0, 4.96, 7.03, 7.05, 7.94",False,False,"No feedback was given to the participant; however, due to safety and ethical concerns we did check in with participants periodically to verify the participant understood the scale and that a temperature was tolerable (please see note about RT corrections).",A mouse was used to make ratings throughout the task. Mouse position was restricted to the scale boundaries (horizontal movement only).,October 2015 - August 2016,"confidence_error, confidence_rt, estimation_error, mean_confidence, mean_rt, rt_distribution",6,continuous estimation: noxious heat; temperature perception/estimation; binary accuracy/d'/meta-d' not applicable
Double_2017,Cognitive,Double & Birney,Thinking & Reasoning,2017.0,Expt 1,Raven's Progressive Matrices,33,20,20,1,confidence rating,6-point,no,1.0,6.0,6.0,True,none,,multi_class,True,,"Subj_idx, Stimulus, Response, Confidence, RT_dec, RT_conf, Difficulty, Accuracy",8,660,33.0,29715,False,1,,True,True,True,True,separate,0.0,100.0,6,True,6.0,,False,"p11_rpm.gif, p13_rpm.gif, p15_rpm.gif, p17_rpm.gif, p19_rpm.gif, p1_rpm.gif, p3_rpm.gif, p5_rpm.gif, p7_rpm.gif, p9_rpm.gif",False,"Option 2, Option 3, Option 4, Option 5, Option 6, Option 7, Option 8, Option 9",False,False,No feedback was provided,keyboard,,"accuracy, confidence_accuracy, confidence_rt, mean_confidence, mean_rt, rt_distribution, type2_auc, type2_roc",8,multi-class: Raven's Matrices; multi-choice; has Accuracy; d'/criterion not applicable
Duyan_2018_Exp1,Perception,Duyan & Balci,Psychonomic Bulletin & Review,2018.0,Expt 1,sequentially presented numbers,29,215,366,1,"confidence rating
+ direction of error judgment",3-point,no,1.0,3.0,3.0,True,target number (11 or 19),,binary_classification,True,,"Subj_idx, Block, Trial, RT_stop, Stimulus, Response, Error, Confidence, RT_confidence, ErrorDirectionJudgment, RT_directionJudgment",11,8596,29.0,633918,False,1,,False,True,False,True,confidence_only,1.0,3.0,3,True,3.0,,True,"11, 19",False,"10.0, 11.0, 12.0, 13.0, 14.0, 16.0, 20.0, 4.0, 7.0, 9.0",False,True,No feedback was given during the actual task.,,,"accuracy, confidence_accuracy, confidence_rt, criterion, dprime, m_ratio, mean_confidence, mean_rt, meta_d_mle, rt_distribution, type2_auc, type2_roc",12,
Duyan_2018_Exp2,Perception,Duyan & Balci,Psychonomic Bulletin & Review,2018.0,Expt 2,sequentially presented numbers,15,309,456,1,"confidence rating
+ direction of error judgment",3-point,no,1.0,3.0,3.0,True,target number (7 or 11),,binary_classification,True,,"Subj_idx, Block, Trial, RT_stop, Stimulus, Response, Error, Confidence, RT_confidence, ErrorDirectionJudgment, RT_directionJudgment",11,5917,15.0,432628,False,1,,False,True,False,True,confidence_only,1.0,3.0,3,True,3.0,,True,"11, 7",False,"1, 10, 11, 12, 4, 5, 6, 7, 8, 9",False,True,No feedback was given during the actual task.,,,"accuracy, confidence_accuracy, confidence_rt, criterion, dprime, m_ratio, mean_confidence, mean_rt, meta_d_mle, rt_distribution, type2_auc, type2_roc",12,
Duyan_2019,Perception,Duyan & Balci,Consciousness & Cognition,2019.0,,number (dot arrays),18,480,480,1,"confidence rating
+ direction of error judgment",3-point,no,1.0,3.0,3.0,True,number (4 to 29),,continuous_estimation,True,,"Subj_idx, Block, Trial, Stimulus, Response, RT_dec, Confidence, RT_conf, ErrorDirectionJudgment, RT_directionJudgment",10,8640,18.0,619351,False,1,,False,True,True,True,separate,1.0,3.0,3,True,3.0,,False,"11, 14, 22, 24, 26, 27, 28, 5, 7, 9",False,"11, 12, 14, 16, 18, 20, 21, 6, 7, 8",False,False,No feedback was given during the actual task.,,,"confidence_error, confidence_rt, estimation_error, mean_confidence, mean_rt, rt_distribution",6,continuous estimation: dot arrays; numerosity estimation; has ErrorDirection; binary accuracy/d'/meta-d' not applicable
Duyan_unpub_Exp1,Perception,Duyan & Balci,Unpublished,,Expt 1,length (line),20,240,240,1,"confidence rating
+ direction of error judgment",3-point,no,1.0,3.0,3.0,True,"length (4.5, 7.5, and 11.5 cm",,continuous_estimation,True,,"Subj_idx, Block, Trial, Stimulus, Response, Error, Confidence, ErrorDirectionJudgment, RT_conf, RT_directionJudgment, trialFilter, MADFilter",12,4800,20.0,331243,False,1,,False,True,False,True,confidence_only,0.0,3.0,4,True,4.0,,False,"182.6638478, 284.1437632, 466.807611",False,"138, 170, 186, 202, 218, 234, 250, 266, 298, 362",False,True,No feedback was given during the actual task.,,,"confidence_error, confidence_rt, estimation_error, mean_confidence, mean_rt, rt_distribution",6,continuous estimation: line length estimation; has Error + ErrorDirection; binary accuracy/d'/meta-d' not applicable
Duyan_unpub_Exp2,Perception,Duyan & Balci,Unpublished,,Expt 2,length (line),21,240,240,1,"confidence rating
+ direction of error judgment",3-point,no,1.0,3.0,3.0,True,"length (7.5, 11.5 and 16.5 cm",The main aim was to obtain a 50% performance to see whether confidence ratings could distinguish between correct/incorrect responses at chance level.,continuous_estimation,True,,"Subj_idx, Trial, Block, Stimulus, Response, Error, Confidence, ErrorDirectionJudgment, RT_conf, RT_directionJudgment, trialFilter, madFilter",12,5040,21.0,390909,False,1,,False,True,False,True,confidence_only,1.0,3.0,3,True,3.0,,False,"304.4397463, 466.807611, 669.7674419",False,"182.6638478, 263.8477801, 284.1437632, 324.7357294, 345.0317125, 365.3276956, 385.6236786, 405.9196617, 446.5116279, 487.1035941",False,True,No feedback was given during the actual task.,,,"confidence_error, confidence_rt, estimation_error, mean_confidence, mean_rt, rt_distribution",6,continuous estimation: line length estimation; has Error + ErrorDirection; binary accuracy/d'/meta-d' not applicable
Duyan_unpub_logos,Memory,Duyan & Balci,Unpublished,,,company logos,59,44,44,1,confidence rating,2-point,no,1.0,2.0,2.0,True,correct or incorrect versions of company logos,,binary_classification,True,,"Subj_idx, Stimulus, Response, Confidence, Correct, RT_dec, RT_conf",7,2596,59.0,92526,False,1,,True,True,True,True,separate,1.0,2.0,2,True,2.0,,True,"1, 2",True,"1, 2",True,False,No feedback was given during the actual task.,,,"accuracy, confidence_accuracy, confidence_rt, criterion, dprime, m_ratio, mean_confidence, mean_rt, meta_d_mle, rt_distribution, type2_auc, type2_roc",12,
Faivre_2018_JN,Perception,"Faivre, Filevich, Solovey, Kuhn, Blanke",Journal of Neuroscience,2018.0,Expt 1-3,gabors/tones/vibrotactile,56,312,1514,1,confidence rating,continuous (0-1),no,0.0,1.0,,False,different sensory modalities,,binary_classification,True,,"Subj_idx, Stimulus, Response, Confidence, RT_dec, RT_conf, Ease",7,52155,56.0,1589168,False,1,,False,True,True,True,separate,0.0,1.0,201,False,,,True,"1, 2",True,"1, 2",False,False,none,keyboard and mouse,,"accuracy, confidence_accuracy, confidence_rt, criterion, dprime, m_ratio, mean_confidence, mean_rt, meta_d_mle, rt_distribution, type2_auc, type2_roc",12,continuous confidence → binning required for meta-d'
Faivre_2018_bioRxiv,Perception,"Faivre, Vuillaume, Blanke, Cleeremans",bioRxiv,2018.0,Expt 1-2,tones,37,180,270,1,confidence rating,6-point,no,1.0,6.0,6.0,True,,"Ns = 49 (paintings), 46 (faces), 48 (words)",binary_classification,True,,"Subj_idx, Stimulus, Response, Confidence, RT_dec, RT_conf, Ease",7,8092,37.0,218399,False,1,,False,True,True,True,separate,1.0,6.0,6,True,6.0,,True,"1, 2",True,"1, 2",False,False,none,keyboard,,"accuracy, confidence_accuracy, confidence_rt, criterion, dprime, m_ratio, mean_confidence, mean_rt, meta_d_mle, rt_distribution, type2_auc, type2_roc",12,
Fallow_unpub_1,Memory,Fallow,Unpublished,,Expt 1,"Paintings, faces, or words",143,192,192,1,confidence rating,3-point,yes,1.0,3.0,3.0,True,"stimulus materials (either paintings, faces, or words)","Replication of paintings & faces conditions in Fallow (unpublished 1). Ns = 89 (paintings), 85 (faces)",binary_classification,True,,"Subj_idx, Condition, Stim_idx, Stimulus, Response, Confidence, RT_decConf, Resp_raw",8,27456,143.0,983702,False,1,,False,True,True,False,combined,1.0,3.0,3,True,3.0,,True,"1, 2",True,"1, 2",False,False,,,,"accuracy, confidence_accuracy, criterion, dprime, m_ratio, mean_confidence, mean_rt, meta_d_mle, rt_distribution, type2_auc, type2_roc",11,
Fallow_unpub_2,Memory,Fallow,Unpublished,,Expt 2,Paintings or faces,174,192,192,1,confidence rating,3-point,yes,1.0,3.0,3.0,True,stimulus materials (either paintings or faces,,binary_classification,True,,"Subj_idx, Condition, Stim_idx, Stimulus, Response, Confidence, RT_decConf, Resp_raw",8,33408,174.0,1567451,False,1,,False,True,True,False,combined,1.0,3.0,3,True,3.0,,True,"1.0, 2.0",True,"1.0, 2.0",False,False,,,,"accuracy, confidence_accuracy, criterion, dprime, m_ratio, mean_confidence, mean_rt, meta_d_mle, rt_distribution, type2_auc, type2_roc",11,
Fallow_unpub_3,Memory,Fallow,Unpublished,,Expt 3,Photographs of scenes,136,192,192,1,confidence rating,3-point,yes,1.0,3.0,3.0,True,none,,binary_classification,True,,"Subj_idx, Stimulus, Response, Confidence, RT_decConf, Condition, Stim_idx, Resp_raw",8,26112,136.0,733106,False,1,,False,True,True,False,combined,1.0,3.0,3,True,3.0,,True,"1, 2",True,"1, 2",False,False,,,,"accuracy, confidence_accuracy, criterion, dprime, m_ratio, mean_confidence, mean_rt, meta_d_mle, rt_distribution, type2_auc, type2_roc",11,
Filevich_unpub,Perception,Filevich & Fandakova,Unplublished,,,Gabors,17,600,600,2,confidence rating,6-point,no,1.0,6.0,6.0,True,task difficulty (%correct: 60% or 80%),,binary_classification,True,,"Subj_idx, Stimulus, Response, Confidence, RT_dec, RT_conf, Difficulty, Condition, Accuracy",9,10200,17.0,378151,False,1,,True,True,True,True,separate,1.0,6.0,6,True,6.0,,True,"1, 2",True,"1.0, 2.0",False,False,No feedback was given.,Keyboard.,January 2014,"accuracy, confidence_accuracy, confidence_rt, criterion, dprime, m_ratio, mean_confidence, mean_rt, meta_d_mle, rt_distribution, type2_auc, type2_roc",12,
Gajdos_2019,Perception,"Gajdos, Fleming, Saez Garcia, Weindel, Davranche ",Neuroscience of Consciousness,2019.0,Expt 1,Gabors,22,699,699,1,confidence rating,4-point,no,1.0,4.0,4.0,True,No manipulation but EMG was recorded,no RT data recorded,binary_classification,True,,"Subj_idx, Stimulus, Response, Confidence, RT_dec, Accuracy, nbrA, CA, IA, prmt, mt, Apmt, EMGtrial, force, EMG, Gender, age, RT_conf, Block, Trial",20,15378,22.0,1436382,False,1,,True,True,True,True,separate,0.0,4.0,5,True,5.0,,True,"1, 2",True,"1.0, 2.0",False,False,"no feedback on accuracy, but responses faster than 1500 ms",Response buttons were be fixed on the top of two,,"accuracy, confidence_accuracy, confidence_rt, criterion, dprime, m_ratio, mean_confidence, mean_rt, meta_d_mle, rt_distribution, type2_auc, type2_roc",12,
Gallagher_2019_Exp1,Perception,Gallagher et al.,Scientific Reports,2019.0,Expt 1,moving dot cloud,15,198,286,3,confidence rating,2-point,no,1.0,2.0,2.0,True,"motion coherence, motion direction adaptation",no RT data recorded,binary_response_graded_stimulus,True,,"Subj_idx, Stimulus, Response, Confidence, Condition",5,3410,15.0,52080,False,1,,False,False,False,False,none,0.0,1.0,2,True,2.0,,False,"-10, -20, -3, -30, -6, 0, 20, 3, 30, 6",True,"0, 1",False,False,Participants received no trial-by-trial feedback.,"Keyboard directional arrows (L/R response, Up/Down confidence).",2016-2017.,"accuracy, confidence_accuracy, criterion, dprime, m_ratio, mean_confidence, meta_d_mle, type2_auc, type2_roc",9,graded stimulus: signed coherence levels; binary direction response; requires binarization for d'
Gallagher_2019_Exp2,Perception,Gallagher et al.,Scientific Reports,2019.0,Expt 2,moving dot cloud,15,220,330,2,confidence rating,2-point,no,1.0,2.0,2.0,True,"motion coherence, default decision instruction",,binary_response_graded_stimulus,True,,"Subj_idx, Stimulus, Response, Confidence, Condition, Exp",6,3410,15.0,63139,False,1,,False,False,False,False,none,0.0,1.0,2,True,2.0,,False,"-10, -20, -3, -30, 0, 10, 20, 3, 30, 6",True,"0, 1",False,False,Participants received no trial-by-trial feedback.,"Keyboard directional arrows (L/R response, Up/Down confidence).",2016-2017.,"accuracy, confidence_accuracy, criterion, dprime, m_ratio, mean_confidence, meta_d_mle, type2_auc, type2_roc",9,graded stimulus: signed coherence levels; binary direction response; requires binarization for d'
Gherman_2018,Perception,Gherman & Philiastides,eLife,2018.0,,Random dot kinematogram,30,320,320,1,confidence rating,9-point,no,1.0,9.0,9.0,True,none,,binary_classification,True,,"Subj_idx, Stimulus, Response, Confidence, RT_dec, RT_conf, Excluded_subj",7,9600,30.0,217613,False,1,,False,True,True,True,separate,1.0,9.0,9,True,9.0,,True,"1, 2",True,"1.0, 2.0",False,False,Not provided during the main task.,MR-compatible button box,2015-2016,"accuracy, confidence_accuracy, confidence_rt, criterion, dprime, m_ratio, mean_confidence, mean_rt, meta_d_mle, rt_distribution, type2_auc, type2_roc",12,
Haddara_2022_Expt1,Perception,Haddara & Rahnev,Psychological Science,2022.0,Expt 1,letter and color discrimination,443,480,480,2,confidence rating,4-point,no,1.0,4.0,4.0,True,2 feedback conditions (Trial-by-trial feedback vs No feedback),,binary_classification,True,,"Subj_idx, Stimulus, Response, Confidence, RT_dec, RT_conf, Task, Feedback",8,212640,443.0,5641590,False,1,,False,True,True,True,separate,1.0,4.0,4,True,4.0,,True,"1, 2",True,"1, 2",False,False,,,,"accuracy, confidence_accuracy, confidence_rt, criterion, dprime, m_ratio, mean_confidence, mean_rt, meta_d_mle, rt_distribution, type2_auc, type2_roc",12,
Haddara_2022_Expt2,Perception,Haddara & Rahnev,Psychological Science,2022.0,Expt 2,letter discrimination,75,3350,3350,1,confidence rating,4-point,no,1.0,4.0,4.0,True,,,binary_classification,True,,"Subj_idx, Stimulus, Response, Confidence, RT_dec, RT_conf, Day, Feedback",8,251250,75.0,6447862,False,1,,False,True,True,True,separate,1.0,4.0,4,True,4.0,,True,"1, 2",True,"1, 2",False,False,,,,"accuracy, confidence_accuracy, confidence_rt, criterion, dprime, m_ratio, mean_confidence, mean_rt, meta_d_mle, rt_distribution, type2_auc, type2_roc",12,
Hainguerlot_2018,Perception,"Hainguerlot, Vergnaud, & de Gardelle",Scientific Reports,2018.0,,dots,65,512,512,1,confidence rating,6-point,no,1.0,6.0,6.0,True,,,binary_classification,True,,"Subj_idx, Stimulus, Response, Confidence, RT_dec, RT_conf, Trial_in_block",7,33280,65.0,856047,False,1,,False,True,True,True,separate,0.5,1.0,6,False,,,True,"1, 2",True,"1, 2",False,False,There was no trial-by-trial feedback.,Participants indicated their response by pressing the corresponding arrow on the keyboard (left or right). Participants indicated their confidence rating by using the numerical keys on the top-left of the keyboard.,The data was collected in 2014.,"accuracy, confidence_accuracy, confidence_rt, criterion, dprime, m_ratio, mean_confidence, mean_rt, meta_d_mle, rt_distribution, type2_auc, type2_roc",12,continuous confidence → binning required for meta-d'
Hainguerlot_unpub,Perception,"Hainguerlot, Gajdos, Vergnaud, & de Gardelle",Unpublished,,,dots,69,512,512,1,confidence rating,continuous (50-100),no,50.0,100.0,,False,,,binary_classification,True,,"Subj_idx, Stimulus, Response, Confidence, RT_dec, RT_conf, Trial_in_block",7,35328,69.0,916195,False,1,,False,True,True,True,separate,0.5,1.0,6,False,,,True,"1, 2",True,"1, 2",False,False,There was no trial-by-trial feedback.,Participants indicated their response by pressing the corresponding arrow on the keyboard (left or right). Participants indicated their confidence rating by using the numerical keys on the top-left of the keyboard.,The data was collected in 2014.,"accuracy, confidence_accuracy, confidence_rt, criterion, dprime, m_ratio, mean_confidence, mean_rt, meta_d_mle, rt_distribution, type2_auc, type2_roc",12,continuous confidence → binning required for meta-d'
Hellmann_2023_Exp1,Perception,"Hellmann, Zehetleitner, Rausch",Psych Review,2023.0,1,oriented gratings,16,1620,1620,5,confidence rating,continuous (-1 to 1),yes,-1.0,1.0,,False,stimulus-onset-asynchrony,,binary_classification,True,,"Subj_idx, Stimulus, Response, Confidence, RT_decConf, SOA, Session, Gender, Age, Training",10,28800,16.0,1425546,False,1,,False,True,True,False,combined,-1.0,1.0,253,False,,,True,"1, 2",True,"1, 2",False,False,"Trial-by-trial feedback was given as Error-Feedback (showing the word ""Error"" vor 1sec only after incorrect trials).",Joystick (Cyborg V1),,"accuracy, confidence_accuracy, criterion, dprime, m_ratio, mean_confidence, mean_rt, meta_d_mle, rt_distribution, type2_auc, type2_roc",11,continuous confidence → binning required for meta-d'
Hellmann_2023_Exp2,Perception,"Hellmann, Zehetleitner, Rausch",Psych Review,2023.0,2,random dot kinematogram,42,640,1921,5,confidence rating,continuous (-1 to 1),yes,-1.0,1.0,,False,stimulus-onset-asynchrony,,binary_classification,True,,"Subj_idx, Stimulus, Response, Confidence, RT_decConf, Coherence, Session, Gender, Age, Training",10,45505,42.0,2388747,False,1,,False,True,True,False,combined,-1.0,1.0,482,False,,,True,"1, 2",True,"1, 2",False,False,"Trial-by-trial feedback was given as Error-Feedback (showing the word ""Error"" vor 1sec only after incorrect trials).",Joystick (Cyborg V1),,"accuracy, confidence_accuracy, criterion, dprime, m_ratio, mean_confidence, mean_rt, meta_d_mle, rt_distribution, type2_auc, type2_roc",11,continuous confidence → binning required for meta-d'
Hetland_unpub,Memory,Hetland et al.,Unpublished,,,"faces, words, shapes",70,45,45,1,confidence rating,2-point,yes,1.0,2.0,2.0,True,none,,binary_classification,True,,"Subj_idx, Stimulus, Response, Confidence, RT_decConf, Picture_ID, Accuracy, Confidence_raw",8,3150,70.0,148684,False,1,,True,True,True,False,combined,1.0,8.0,5,True,5.0,,True,"0, 1",True,"0, 1",False,False,no,,,"accuracy, confidence_accuracy, criterion, dprime, m_ratio, mean_confidence, mean_rt, meta_d_mle, rt_distribution, type2_auc, type2_roc",11,
Hu_2017,Memory,Hu et al.,Frontiers in human neuroscience,2017.0,,words,35,150,150,1,confidence rating,6-point,no,1.0,6.0,6.0,True,none,There is also a perceptual awareness rating scale in addition to confidence reports on each trial,binary_classification,True,,"Subj_idx, Stimulus, Response, Confidence, RT_dec, RT_conf, Accuracy",7,5250,35.0,123610,False,1,,True,True,True,True,separate,1.0,6.0,6,True,6.0,,True,"1, 2",True,"1, 2",False,False,No trial-by-trial feedback was provided.,Computer keyboard.,Data were collected in 2015 and 2016.,"accuracy, confidence_accuracy, confidence_rt, criterion, dprime, m_ratio, mean_confidence, mean_rt, meta_d_mle, rt_distribution, type2_auc, type2_roc",12,
Jachs_2015_Exp1,Perception,"Jachs, Blanco, Grantham-Hill, Soto ",JEP:HPP,2015.0,Expt 1,Oriented Gratings,13,450,500,1,confidence rating & visibility,3-point,no,1.0,3.0,3.0,True,none,There is also a perceptual awareness rating scale in addition to confidence reports on each trial,binary_classification,True,,"Subj_idx, Stimulus, Response, Confidence, Awareness, RT_dec, RT_conf, RT_aware, Trial_count, Block_count, Accuracy",11,6449,13.0,412848,False,1,,True,True,True,True,separate,1.0,3.0,3,True,3.0,,True,"1, 2",True,"1, 2",False,False,No,Keyboard.,Data was collected between November and December 2013.,"accuracy, confidence_accuracy, confidence_rt, criterion, dprime, m_ratio, mean_confidence, mean_rt, meta_d_mle, rt_distribution, type2_auc, type2_roc",12,
Jachs_2015_Exp2,Perception,"Jachs, Blanco, Grantham-Hill, Soto ",JEP:HPP,2015.0,Expt 2,Oriented Gratings,18,500,500,1,confidence rating & visibility,3-point,no,1.0,3.0,3.0,True,none,There is also a perceptual awareness rating scale in addition to confidence reports on each trial,binary_classification,True,,"Subj_idx, Stimulus, Response, Confidence, Awareness, RT_dec, RT_conf, RT_aware, Trial_count, Block_count, Accuracy",11,9000,18.0,578884,False,1,,True,True,True,True,separate,1.0,3.0,3,True,3.0,,True,"1, 2",True,"1, 2",False,False,No,Keyboard.,Data was collected in December 2013.,"accuracy, confidence_accuracy, confidence_rt, criterion, dprime, m_ratio, mean_confidence, mean_rt, meta_d_mle, rt_distribution, type2_auc, type2_roc",12,
Jachs_2015_Exp3,Perception,"Jachs, Blanco, Grantham-Hill, Soto ",JEP:HPP,2015.0,Expt 3,Oriented Gratings,10,400,400,1,confidence rating & visibility,2-point,no,1.0,2.0,2.0,True,none,"advice provided following initial decision, and final decision taken thereafter, so initial decision is manipulation-free",binary_classification,True,,"Subj_idx, Stimulus, Response, Confidence, Awareness, RT_dec, RT_conf, RT_aware, Trial_count, Block_count, Accuracy",11,4000,10.0,264892,False,1,,True,True,True,True,separate,1.0,2.0,2,True,2.0,,True,"1, 2",True,"1, 2",False,False,No,Keyboard.,Data was collected in March 2014.,"accuracy, confidence_accuracy, confidence_rt, criterion, dprime, m_ratio, mean_confidence, mean_rt, meta_d_mle, rt_distribution, type2_auc, type2_roc",12,
Jaquiery_unpub,Perception,"Jaquiery, Yeung",Unpublished,,,Circular clouds of dots,328,66,240,1,confidence rating,continuous (100% left to 100% right),yes,,,,False,none,,binary_classification,True,,"Subj_idx, Stimulus, Response, Confidence, RT_decConf, Difficulty, Accuracy, Trial_in_block",8,73251,328.0,1881290,False,1,,True,True,True,False,combined,1.0,50.0,50,False,,,True,"0, 1",True,"0, 1",False,False,Feedback was only provided on practice (training) trials. Block-level feedback (% of final decisions correct) was given during non-training trials.,"Participants responded using a mouse, although some participants may have completed the study on touchscreen devices such as tablets or phones.",Data collected in 2018 across several months.,"accuracy, confidence_accuracy, criterion, dprime, m_ratio, mean_confidence, mean_rt, meta_d_mle, rt_distribution, type2_auc, type2_roc",11,continuous confidence → binning required for meta-d'
Kantner_2010,Memory,"Kantner, Lindsay",Memory & Cognition,2010.0,Expt 4,Words,78,150,150,6,confidence rating,3-point,yes,1.0,3.0,3.0,True,"feedback, nature of old items",,binary_classification,True,,"Subj_idx, Stimulus, Response, Confidence, RT_decConf, Condition, Accuracy, Raw_Response, StimulusType",9,11700,78.0,515073,True,2,,True,True,True,False,combined,1.0,3.0,3,True,3.0,,True,"0, 1",True,"0, 1",False,False,,,,"accuracy, confidence_accuracy, criterion, dprime, m_ratio, mean_confidence, mean_rt, meta_d_mle, rt_distribution, type2_auc, type2_roc",11,"multi-task (2 tasks, suffixes=[]): run analyses per task"
Kantner_2012_E1,Memory,"Kantner, Lindsay",Memory & Cognition,2012.0,Expt 1,Words,41,192,192,1,confidence rating,3-point,yes,1.0,3.0,3.0,True,none,,binary_classification,True,,"Subj_idx, Stimulus, Response, Confidence, RT_decConf, Accuracy, Raw_Response, StimulusType",8,7872,41.0,194469,True,2,,True,True,True,False,combined,1.0,3.0,3,True,3.0,,True,"0, 1",True,"0, 1",False,False,,,,"accuracy, confidence_accuracy, criterion, dprime, m_ratio, mean_confidence, mean_rt, meta_d_mle, rt_distribution, type2_auc, type2_roc",11,"multi-task (2 tasks, suffixes=[]): run analyses per task"
Kantner_2012_E2,Memory,"Kantner, Lindsay",Memory & Cognition,2012.0,Expt 2,Words,46,192,192,1,confidence rating,3-point,yes,1.0,3.0,3.0,True,none,,binary_classification,True,,"Subj_idx, Stimulus, Response, Confidence, RT_decConf, Accuracy, Raw_Response, StimulusType",8,8832,46.0,218235,True,2,,True,True,True,False,combined,1.0,3.0,3,True,3.0,,True,"0, 1",True,"0, 1",False,False,,,,"accuracy, confidence_accuracy, criterion, dprime, m_ratio, mean_confidence, mean_rt, meta_d_mle, rt_distribution, type2_auc, type2_roc",11,"multi-task (2 tasks, suffixes=[]): run analyses per task"
Kantner_2012_E3,Memory,"Kantner, Lindsay",Memory & Cognition,2012.0,Expt 3,"Words, Paintings",147,192,384,4,confidence rating,3-point,yes,1.0,3.0,3.0,True,stimulus type,,binary_classification,True,,"Subj_idx, Stimulus, Response, Confidence, RT_decConf, Condition, Accuracy, Raw_Response, StimulusType",9,28416,147.0,1218627,True,2,,True,True,True,False,combined,1.0,3.0,3,True,3.0,,True,"0, 1",True,"0, 1",False,False,,,,"accuracy, confidence_accuracy, criterion, dprime, m_ratio, mean_confidence, mean_rt, meta_d_mle, rt_distribution, type2_auc, type2_roc",11,"multi-task (2 tasks, suffixes=[]): run analyses per task"
Kantner_2012_E4,Memory,"Kantner, Lindsay",Memory & Cognition,2012.0,Expt 4,Words,51,96,96,1,confidence rating,3-point,yes,1.0,3.0,3.0,True,none,,binary_classification,True,,"Subj_idx, Stimulus, Response, Confidence, RT_decConf, Accuracy, Raw_Response, StimulusType",8,4896,51.0,121049,True,2,,True,True,True,False,combined,1.0,3.0,3,True,3.0,,True,"0, 1",True,"0, 1",False,False,,,,"accuracy, confidence_accuracy, criterion, dprime, m_ratio, mean_confidence, mean_rt, meta_d_mle, rt_distribution, type2_auc, type2_roc",11,"multi-task (2 tasks, suffixes=[]): run analyses per task"
Kantner_2014_E1,Memory,"Kantner, Lindsay",Psychonomic Bulletin & Review,2014.0,Expt 1,Paintings,87,192,192,1,confidence rating,3-point,yes,1.0,3.0,3.0,True,training procedure,,binary_classification,True,,"Subj_idx, Stimulus, Response, Confidence, RT_decConf, Accuracy, Raw_Response, StimulusType",8,16704,87.0,480888,True,2,,True,True,True,False,combined,1.0,3.0,3,True,3.0,,True,"0, 1",True,"0, 1",False,False,,,,"accuracy, confidence_accuracy, criterion, dprime, m_ratio, mean_confidence, mean_rt, meta_d_mle, rt_distribution, type2_auc, type2_roc",11,"multi-task (2 tasks, suffixes=[]): run analyses per task"
Kantner_2014_E2,Memory,"Kantner, Lindsay",Psychonomic Bulletin & Review,2014.0,Expt 2,"Words, Faces",74,172,172,1,confidence rating,3-point,no,1.0,3.0,3.0,True,none,,binary_classification,True,,"Subj_idx, Stimulus, Response, Confidence, RT_dec, RT_conf, Accuracy, StimulusType",8,12728,74.0,364768,True,2,,True,True,True,True,separate,1.0,3.0,3,True,3.0,,True,"0, 1",True,"0, 1",False,False,,,,"accuracy, confidence_accuracy, confidence_rt, criterion, dprime, m_ratio, mean_confidence, mean_rt, meta_d_mle, rt_distribution, type2_auc, type2_roc",12,"multi-task (2 tasks, suffixes=[]): run analyses per task"
